controller,time_s,position_m,velocity_mps,command_mps,compute_ms,effective_samples
baseline,0.000000000,0.000000000,0.000000000,0.499037870,2.069038001,2861.123701576
baseline,0.050000000,0.000000000,0.000000000,0.515521191,1.013339002,3531.944134167
baseline,0.100000000,0.001311979,0.052479163,0.522496035,0.936337998,3787.230473732
baseline,0.150000000,0.005153283,0.101172979,0.523724314,0.920258997,3781.373975971
baseline,0.200000000,0.011319597,0.145479600,0.524828788,0.902651998,3885.276434865
baseline,0.250000000,0.019587989,0.185256072,0.524630353,1.382055001,3906.893588744
baseline,0.300000000,0.029743535,0.220965771,0.521122314,1.137087998,3978.014084647
baseline,0.350000000,0.041590163,0.252899346,0.518659543,1.486950998,4025.329842362
baseline,0.400000000,0.054940293,0.281105856,0.517260615,1.397890999,4128.868888009
baseline,0.450000000,0.069620119,0.306087164,0.514950969,1.598819999,4212.375576065
baseline,0.500000000,0.085479655,0.328294309,0.514538403,1.078260997,4330.637072198
baseline,0.550000000,0.102385094,0.347923251,0.509184143,0.996522998,4451.990928421
baseline,0.600000000,0.120219291,0.365444614,0.511254677,1.064650001,4502.470325740
baseline,0.650000000,0.138869415,0.380560361,0.508544550,0.950406000,4621.660144897
baseline,0.700000000,0.158241031,0.394304265,0.502788541,1.069038000,4796.298905299
baseline,0.750000000,0.178256584,0.406317851,0.501015184,0.924987002,4936.149623120
baseline,0.800000000,0.198826100,0.416462775,0.499084270,0.925258999,5045.864713506
baseline,0.850000000,0.219871528,0.425354364,0.494801135,0.922849002,5221.109110130
baseline,0.900000000,0.241333083,0.433107851,0.489972016,1.059636001,5371.160497966
baseline,0.950000000,0.263150669,0.439595559,0.482581818,0.904592998,5562.198621481
baseline,1.000000000,0.285262887,0.444893182,0.479459794,1.373514002,5723.117956088
baseline,1.050000000,0.307606630,0.448856544,0.472058078,0.929111000,5887.412036172
baseline,1.100000000,0.330129914,0.452074803,0.467428998,1.106364001,6059.614834769
baseline,1.150000000,0.352786190,0.454176258,0.464492055,0.914048000,6320.003476660
baseline,1.200000000,0.375529845,0.455569925,0.453303355,1.149425003,6482.292225050
baseline,1.250000000,0.398331798,0.456508182,0.447585806,0.893424000,6630.127508198
baseline,1.300000000,0.421148781,0.456171161,0.442801280,0.936987999,6875.517415840
baseline,1.350000000,0.443934768,0.455268319,0.430758018,1.024206998,7036.541053783
baseline,1.400000000,0.466665408,0.453957276,0.420034258,0.918877002,7174.575144407
baseline,1.450000000,0.489302281,0.451517627,0.410197345,1.027565999,7337.685438677
baseline,1.500000000,0.511795392,0.448206814,0.401654089,0.887495000,7453.280136606
baseline,1.550000000,0.534105805,0.444209712,0.389499986,0.888803002,7568.084631816
baseline,1.600000000,0.556204411,0.439734534,0.373220009,0.893089997,7652.789467081
baseline,1.650000000,0.578059070,0.434451835,0.358821217,1.021051001,7706.194922419
baseline,1.700000000,0.599620683,0.428012654,0.348937318,0.877221002,7631.863470067
baseline,1.750000000,0.620839410,0.420736435,0.318360943,1.167186001,7426.626744607
baseline,1.800000000,0.641687470,0.413185991,0.292441388,0.885427999,7131.230953832
baseline,1.850000000,0.662097473,0.403214124,0.251917306,1.061408999,6824.556552035
baseline,1.900000000,0.681966956,0.391565187,0.221938833,0.930533002,6552.796687606
baseline,1.950000000,0.701178079,0.376879721,0.181365672,1.186172998,6374.777072906
baseline,2.000000000,0.719614723,0.360586031,0.148549887,0.924567001,6212.807504262
baseline,2.050000000,0.737172851,0.341739096,0.100229634,0.948411001,6144.453890241
baseline,2.100000000,0.753751908,0.321423187,0.067719918,1.073129002,6036.980058382
baseline,2.150000000,0.769241545,0.298162321,0.027958245,0.962365000,5883.198867332
baseline,2.200000000,0.783543825,0.273928841,-0.011120126,1.070327999,5866.534173690
baseline,2.250000000,0.796593606,0.248062405,-0.052271524,0.939116999,5705.446784213
baseline,2.300000000,0.808315331,0.220806593,-0.093965237,0.946304001,5595.430139304
baseline,2.350000000,0.818637733,0.192089512,-0.138796565,0.972582002,5276.563685061
baseline,2.400000000,0.827490166,0.162007799,-0.173349900,1.102123999,5086.857678131
baseline,2.450000000,0.834799736,0.130375007,-0.222731219,0.958555000,4848.722627689
baseline,2.500000000,0.840519989,0.098435088,-0.250727895,1.257666998,4362.304294575
baseline,2.550000000,0.844597391,0.064661020,-0.287265822,0.982968999,4205.754579642
baseline,2.600000000,0.847001279,0.031494506,-0.304918326,1.134126996,4022.036348522
baseline,2.650000000,0.847737978,-0.002026548,-0.316689304,1.002544002,3961.888190198
baseline,2.700000000,0.846840343,-0.033878854,-0.325357885,1.260707999,3998.759518524
baseline,2.750000000,0.844402887,-0.063619394,-0.320922401,0.997317002,4186.409533234
baseline,2.800000000,0.840533802,-0.091143993,-0.314423074,1.009370000,4427.265747880
baseline,2.850000000,0.835372511,-0.115307647,-0.289867264,1.117972999,4718.302964187
baseline,2.900000000,0.829083651,-0.136246762,-0.263418692,0.989176002,5134.527715736
baseline,2.950000000,0.821867442,-0.152401599,-0.241046230,1.084918000,5607.608926132
baseline,3.000000000,0.813955496,-0.164076232,-0.214670161,0.939464000,6022.999926651
baseline,3.050000000,0.805549329,-0.172170450,-0.187753572,0.926496999,6336.012731038
baseline,3.100000000,0.796829074,-0.176639748,-0.155266959,0.932852003,6587.978475348
baseline,3.150000000,0.787967869,-0.177808486,-0.129362763,1.040685998,6789.321183096
baseline,3.200000000,0.779136706,-0.175438003,-0.124474587,0.891922002,6998.115784996
